trade_date,Classification,total_volume,avg_fee,avg_pnl,num_trades
2023-05-01,Greed,477.0,0.0,0.0,3
2023-12-05,Extreme Greed,50005.83,1.3890505555555555,0.0,9
2023-12-14,Greed,113203.35,2.5728028181818186,-18.675885181818188,11
2023-12-15,Greed,10609.95,1.3262445,-12.316016999999999,2
2023-12-16,Greed,15348.77,1.279063,0.0,3
2023-12-17,Greed,116278.02,2.076392785714286,21.78448464285714,14
2023-12-18,Greed,31164.179999999997,3.8955225,0.0,2
2023-12-19,Greed,91602.41,1.5267064,66.70257413333334,15
2023-12-20,Greed,141636.79,1.9671770555555557,9.040682333333333,18
2023-12-21,Greed,125233.97,0.6389483469387754,10.963498000000001,49
2023-12-22,Greed,88874.28,2.2218566,14.1832675,10
2023-12-23,Greed,78438.25,1.5084273076923078,11.302823384615383,13
2023-12-24,Greed,402954.94,2.5830439743589744,25.862050153846155,39
2023-12-25,Greed,59948.51,4.995708333333333,-81.69378266666666,3
2023-12-27,Greed,171411.06,1.53045525,-25.174615249999995,28
2023-12-28,Greed,100117.25,1.0882304347826086,-42.20569026086957,23
2023-12-29,Greed,569559.72,2.8477980200000004,10.178442859999999,50
2023-12-30,Greed,702550.21,3.377644730769231,6.826897076923077,52
2024-01-01,Greed,264239.52999999997,3.6699926111111107,-7.196192222222223,18
2024-01-02,Greed,121348.74,1.7845397647058823,46.11641858823529,17
2024-01-03,Greed,394499.36,1.4720121044776118,12.925604582089552,67
2024-01-04,Greed,99792.54000000001,4.989626400000001,-13.520728,5
2024-01-05,Greed,1703942.66,6.4543278636363635,2.486993409090909,66
2024-01-06,Greed,298521.4,3.3922882727272725,6.16280290909091,22
2024-01-07,Greed,1048850.06,2.7032212783505156,-8.615270463917525,97
2024-01-08,Greed,1522452.43,2.9735395625,-2.1083940546875,128
2024-01-09,Extreme Greed,870051.97,2.9144704,-11.804998042857143,70
2024-01-10,Greed,2057479.48,2.2489371243523317,-7.860576901554404,193
2024-01-11,Extreme Greed,305314.1,3.6127224285714283,-7.813785761904761,21
2024-01-12,Greed,200082.27,7.068675285714285,-275.0741462857143,7
2024-01-15,Neutral,50636.1,0.9037651428571428,10.918112857142857,14
2024-01-16,Greed,116427.33,1.9243676666666667,-255.4634953333333,9
2024-01-17,Greed,800831.03,3.0133510566037733,15.344794547169812,53
2024-01-18,Greed,424631.52999999997,2.014302195652174,1.4985476086956522,46
2024-01-19,Neutral,428428.97,1.9385805833333334,-8.029567395833334,48
2024-01-20,Neutral,1070090.51,2.5237979528301886,-1.3827817924528305,106
2024-01-21,Greed,103129.74,2.343857272727273,24.234649636363642,11
2024-01-22,Greed,337878.99,0.7938619764705882,16.18401128235294,85
2024-01-23,Neutral,414518.93000000005,1.9049904444444445,-8.20543844444444,45
2024-01-24,Neutral,965084.59,3.3495749264705883,-41.29932080882353,68
2024-01-25,Neutral,66566.13,2.773588666666667,-515.6048975,6
2024-01-26,Neutral,11773.21,0.088847,18.04,5
2024-01-28,Neutral,18109.03,-0.03292509090909091,-225.27906545454545,11
2024-01-29,Greed,414208.18,1.395440608108108,6.5751694864864865,74
2024-01-30,Greed,401011.38,2.045975714285714,-3.5439630816326537,49
2024-01-31,Greed,6305647.13,1.8037386204889407,-0.93113017112922,859
2024-02-01,Greed,2008.18,0.08367399999999998,0.0,6
2024-02-02,Greed,474278.43,2.1802294285714288,10.867225547619048,42
2024-02-03,Greed,603820.0,1.9582562321428572,3.9876640535714283,56
2024-02-04,Greed,203187.53,1.4436251428571427,1.360682714285714,35
2024-02-05,Greed,770198.26,2.299298125,-0.4646415833333337,72
2024-02-06,Greed,8047153.41,0.9086461369485294,-0.19817638511029412,1088
2024-02-07,Greed,6758.73,0.022646200000000002,16.082808,15
2024-02-08,Greed,26051.12,0.3002887,77.07560240000001,10
